scheduler,fold,metric,n_valid,mean,sd_within_fold
Cosine,0,dice,325,0.7518221009431323,0.2501105973550144
Cosine,0,detectability,322,0.7476813660975841,0.2992519693815468
Cosine,0,precision,324,0.5979502598943853,0.30137643206276177
Cosine,1,dice,328,0.7344291892042134,0.2553952832843715
Cosine,1,detectability,325,0.7655002170513887,0.28798400201387964
Cosine,1,precision,326,0.48656059493228293,0.2933138468053639
Cosine,2,dice,323,0.6995491899403672,0.29215511677204814
Cosine,2,detectability,320,0.7227033154977918,0.32701949416244697
Cosine,2,precision,319,0.5727817032318239,0.31689039654023304
Cosine,3,dice,327,0.723443534358062,0.2650228674281896
Cosine,3,detectability,321,0.7312678461956352,0.2969992989022844
Cosine,3,precision,325,0.5760292566903865,0.30576376724602145
Cosine,4,dice,327,0.7474671734458045,0.2470794064403095
Cosine,4,detectability,324,0.7426071950320257,0.2881267934703557
Cosine,4,precision,326,0.5501143240107227,0.2910084022554695
Polynomial,0,dice,325,0.7535977793669091,0.25512052461085916
Polynomial,0,detectability,322,0.7494298268122351,0.3032086351186409
Polynomial,0,precision,323,0.5932347164814168,0.30032164717294857
Polynomial,1,dice,328,0.745826167027033,0.2484024155491975
Polynomial,1,detectability,325,0.7566653017483473,0.2916215034706479
Polynomial,1,precision,326,0.5189306100927655,0.29885310315773617
Polynomial,2,dice,325,0.7073605191239569,0.28671372081353746
Polynomial,2,detectability,320,0.7325694059388921,0.32507871370724295
Polynomial,2,precision,322,0.550582737867713,0.3102118648880662
Polynomial,3,dice,328,0.7170965189443721,0.27081877137973076
Polynomial,3,detectability,321,0.7259834320896679,0.30142841465835957
Polynomial,3,precision,323,0.547434563531959,0.29878112343625124
Polynomial,4,dice,327,0.7482450189428914,0.24902249148115366
Polynomial,4,detectability,324,0.7442905326590143,0.2895844263256991
Polynomial,4,precision,327,0.5341582946251409,0.2915689589471575
