scheduler,dataset,metric,n_valid,mean,sd
Cosine,Liver_Lesions,dice,833,0.7447314656429629,0.28565961634179865
Cosine,Liver_Lesions,detectability,815,0.7328092276659456,0.2793985556039671
Cosine,Liver_Lesions,precision,823,0.6398513487559734,0.2888548309807746
Cosine,MCT_LTDiag,dice,398,0.7489575861735437,0.21602022280409852
Cosine,MCT_LTDiag,detectability,398,0.6353811376180039,0.31384626094334933
Cosine,MCT_LTDiag,precision,398,0.5125400949286149,0.2893602306515158
Cosine,MSD,dice,242,0.6922939640474751,0.24550905607882506
Cosine,MSD,detectability,242,0.8655366166000585,0.28141026389006496
Cosine,MSD,precision,242,0.4741756407045663,0.3064164649923908
Cosine,WAW_TACE,dice,157,0.6764049502608626,0.2580931170483856
Cosine,WAW_TACE,detectability,157,0.8698513800424629,0.28344099109750664
Cosine,WAW_TACE,precision,157,0.35846915081699554,0.26166685870585404
Polynomial,Liver_Lesions,dice,836,0.7465644250102799,0.287003044598114
Polynomial,Liver_Lesions,detectability,815,0.73522473306248,0.279287224845048
Polynomial,Liver_Lesions,precision,826,0.6353317367520268,0.2901493905215613
Polynomial,MCT_LTDiag,dice,398,0.7542987233632136,0.21455482440243395
Polynomial,MCT_LTDiag,detectability,398,0.6293407859833334,0.3204226987698067
Polynomial,MCT_LTDiag,precision,397,0.5005330502386643,0.2828846800121948
Polynomial,MSD,dice,242,0.6871841743218873,0.2513155523910155
Polynomial,MSD,detectability,242,0.8564457075091494,0.29175082899685717
Polynomial,MSD,precision,241,0.45256402196236223,0.28622909607512803
Polynomial,WAW_TACE,dice,157,0.692285909614192,0.24395251705556403
Polynomial,WAW_TACE,detectability,157,0.8847133757961781,0.2645075639098535
Polynomial,WAW_TACE,precision,157,0.363066213219958,0.2637855505683688
