phase,dataset,metric,n_valid,mean,sd
DualPhase,Liver_Lesions,dice,836,0.7465644250102799,0.287003044598114
DualPhase,Liver_Lesions,detectability,815,0.73522473306248,0.279287224845048
DualPhase,Liver_Lesions,precision,826,0.6353317367520268,0.2901493905215613
DualPhase,MCT_LTDiag,dice,398,0.7542987233632136,0.21455482440243395
DualPhase,MCT_LTDiag,detectability,398,0.6293407859833334,0.3204226987698067
DualPhase,MCT_LTDiag,precision,397,0.5005330502386643,0.2828846800121948
DualPhase,MSD,dice,242,0.6871841743218873,0.2513155523910155
DualPhase,MSD,detectability,242,0.8564457075091494,0.29175082899685717
DualPhase,MSD,precision,241,0.45256402196236223,0.28622909607512803
DualPhase,WAW_TACE,dice,157,0.692285909614192,0.24395251705556403
DualPhase,WAW_TACE,detectability,157,0.8847133757961781,0.2645075639098535
DualPhase,WAW_TACE,precision,157,0.363066213219958,0.2637855505683688
SinglePhase,Liver_Lesions,dice,835,0.7382926585484226,0.2883116640779375
SinglePhase,Liver_Lesions,detectability,815,0.7307206715975644,0.2766193138487544
SinglePhase,Liver_Lesions,precision,827,0.6370000212547273,0.29388355537816735
SinglePhase,MCT_LTDiag,dice,398,0.7394687589459793,0.23301963102628037
SinglePhase,MCT_LTDiag,detectability,398,0.627962048581514,0.3245371259412128
SinglePhase,MCT_LTDiag,precision,398,0.452263131165171,0.28109823956853003
SinglePhase,MSD,dice,242,0.68323839909296,0.24974150196613493
SinglePhase,MSD,detectability,242,0.8712528700435846,0.2722076029074552
SinglePhase,MSD,precision,242,0.396796775309172,0.2662365403902505
SinglePhase,WAW_TACE,dice,157,0.7022370841202938,0.24971457983936415
SinglePhase,WAW_TACE,detectability,157,0.8859872611464967,0.26170265930625053
SinglePhase,WAW_TACE,precision,157,0.38871799349506353,0.2910079245978047
