phase,fold,metric,n_valid,mean,sd_within_fold
DualPhase,0,dice,325,0.7535977793669091,0.25512052461085916
DualPhase,0,detectability,322,0.7494298268122351,0.3032086351186409
DualPhase,0,precision,323,0.5932347164814168,0.30032164717294857
DualPhase,1,dice,328,0.745826167027033,0.2484024155491975
DualPhase,1,detectability,325,0.7566653017483473,0.2916215034706479
DualPhase,1,precision,326,0.5189306100927655,0.29885310315773617
DualPhase,2,dice,325,0.7073605191239569,0.28671372081353746
DualPhase,2,detectability,320,0.7325694059388921,0.32507871370724295
DualPhase,2,precision,322,0.550582737867713,0.3102118648880662
DualPhase,3,dice,328,0.7170965189443721,0.27081877137973076
DualPhase,3,detectability,321,0.7259834320896679,0.30142841465835957
DualPhase,3,precision,323,0.547434563531959,0.29878112343625124
DualPhase,4,dice,327,0.7482450189428914,0.24902249148115366
DualPhase,4,detectability,324,0.7442905326590143,0.2895844263256991
DualPhase,4,precision,327,0.5341582946251409,0.2915689589471575
SinglePhase,0,dice,325,0.7569484142035848,0.250923990579693
SinglePhase,0,detectability,322,0.7518143780133433,0.2928523734968832
SinglePhase,0,precision,324,0.5970450432998213,0.30311488585385654
SinglePhase,1,dice,328,0.7346763239771785,0.24787062881747848
SinglePhase,1,detectability,325,0.7616545712763284,0.281044291904671
SinglePhase,1,precision,327,0.4880033454515558,0.2987515372048043
SinglePhase,2,dice,324,0.6990255643804404,0.28932758131213937
SinglePhase,2,detectability,320,0.7248600922054788,0.3274959913294093
SinglePhase,2,precision,320,0.5387720305987765,0.3193996282107784
SinglePhase,3,dice,328,0.708572161453625,0.2872743226524776
SinglePhase,3,detectability,321,0.7212342719644307,0.31448691064038337
SinglePhase,3,precision,327,0.5360219497586411,0.3075012291564394
SinglePhase,4,dice,327,0.7354734863580543,0.2547341625740587
SinglePhase,4,detectability,324,0.747889015575822,0.28281329301913816
SinglePhase,4,precision,326,0.5004520645106049,0.29250929358328576
